reporter_area_code,partner_area_code,item_code,element_code,year_code,value,flag,note
146,181,15,5910,2016,504.1,A,
146,181,15,5922,2016,80.0,A,
67,108,15,5610,2002,8271.0,A,
67,108,15,5610,2003,1011.0,A,
67,108,15,5610,2004,3489.0,A,
67,108,15,5610,2005,7686.0,A,
67,108,15,5610,2006,11294.0,A,
67,108,15,5610,2007,9035.0,A,
67,108,15,5610,2008,5048.0,A,
67,108,15,5610,2009,6472.0,A,
67,108,15,5610,2010,2209.0,A,
67,108,15,5610,2011,505.0,A,
67,108,15,5610,2012,1000.0,A,
67,108,15,5610,2014,271.2,A,
67,108,15,5610,2015,1269.6,A,
67,108,15,5610,2016,2525.47,A,
67,108,15,5610,2017,8173.72,A,
67,108,15,5610,2018,2500.0,A,
67,108,15,5610,2019,2930.5,A,
67,108,15,5610,2020,1551.0,A,
67,108,15,5610,2022,1540.0,A,
67,108,15,5622,2002,674.0,A,
67,108,15,5622,2003,214.0,A,
67,108,15,5622,2004,663.0,A,
67,108,15,5622,2005,1466.0,A,
67,108,15,5622,2006,2073.0,A,
67,108,15,5622,2007,2120.0,A,
67,108,15,5622,2008,2064.0,A,
67,108,15,5622,2009,1822.0,A,
67,108,15,5622,2010,585.0,A,
67,108,15,5622,2011,203.0,A,
67,108,15,5622,2012,384.0,A,
67,108,15,5622,2014,131.0,A,
67,108,15,5622,2015,637.0,A,
67,108,15,5622,2016,747.0,A,
67,108,15,5622,2017,2435.0,A,
67,108,15,5622,2018,871.0,A,
67,108,15,5622,2019,1102.0,A,
67,108,15,5622,2020,526.0,A,
67,108,15,5622,2022,701.0,A,
67,108,15,5910,2012,0.0,A,
67,108,15,5910,2013,0.0,A,
67,108,15,5922,2012,0.0,A,
67,108,15,5922,2013,0.0,A,
185,103,15,5910,2002,57417.0,A,
185,103,15,5910,2003,86451.0,A,
185,103,15,5910,2008,148719.0,A,
185,103,15,5910,2009,234521.0,A,
185,103,15,5910,2010,439250.0,A,
185,103,15,5910,2011,204327.0,A,
185,103,15,5910,2012,665225.0,A,
185,103,15,5910,2013,103383.0,A,
185,103,15,5910,2014,118534.85,A,
185,103,15,5910,2018,553.54,A,
185,103,15,5910,2020,52.4,A,
185,103,15,5922,2002,6201.0,A,
185,103,15,5922,2003,9782.0,A,
185,103,15,5922,2008,42682.0,A,
185,103,15,5922,2009,45888.0,A,
185,103,15,5922,2010,80334.0,A,
185,103,15,5922,2011,52980.0,A,
185,103,15,5922,2012,199908.0,A,
185,103,15,5922,2013,25832.0,A,
185,103,15,5922,2014,28956.0,A,
185,103,15,5922,2018,134.0,A,
185,103,15,5922,2020,13.0,A,
210,64,15,5910,2003,862.0,A,
210,64,15,5910,2014,11906.5,A,
210,64,15,5910,2015,11498.5,A,
210,64,15,5910,2016,13200.0,A,
210,64,15,5910,2017,12400.0,A,
210,64,15,5910,2018,6000.0,A,
210,64,15,5910,2019,6001.35,A,
210,64,15,5910,2020,14800.0,A,
210,64,15,5910,2021,16100.0,A,
210,64,15,5910,2022,13680.0,A,
210,64,15,5910,2023,6800.0,A,
210,64,15,5922,2003,118.0,A,
210,64,15,5922,2014,3001.0,A,
210,64,15,5922,2015,2365.0,A,
210,64,15,5922,2016,2258.0,A,
210,64,15,5922,2017,2331.0,A,
210,64,15,5922,2018,1156.0,A,
210,64,15,5922,2019,1106.0,A,
210,64,15,5922,2020,3239.0,A,
210,64,15,5922,2021,4301.0,A,
210,64,15,5922,2022,5030.0,A,
210,64,15,5922,2023,1945.0,A,
9,134,15,5910,2001,2500.0,A,
9,134,15,5910,2015,26250.0,A,
9,134,15,5922,2001,283.0,A,
9,134,15,5922,2015,6038.0,A,
225,102,15,5610,2002,216.0,A,
225,102,15,5610,2003,1818.0,A,
225,102,15,5610,2005,119.0,A,
225,102,15,5610,2007,4833.0,A,
225,102,15,5610,2008,3844.0,A,
225,102,15,5610,2014,0.34,A,
225,102,15,5610,2019,0.08,A,
225,102,15,5610,2022,11.1,A,
225,102,15,5610,2023,5.48,A,
225,102,15,5622,2002,33.0,A,
225,102,15,5622,2003,389.0,A,
225,102,15,5622,2005,41.0,A,
225,102,15,5622,2007,1325.0,A,
225,102,15,5622,2008,1249.0,A,
225,102,15,5622,2014,1.0,A,
225,102,15,5622,2019,0.0,A,
225,102,15,5622,2022,1.0,A,
225,102,15,5622,2023,2.0,A,
225,102,15,5910,2002,574.0,A,
225,102,15,5910,2003,79.0,A,
225,102,15,5910,2007,893.0,A,
225,102,15,5910,2008,0.0,A,
225,102,15,5910,2015,10.0,A,
225,102,15,5910,2019,0.15,A,
225,102,15,5910,2020,20.68,A,
225,102,15,5910,2022,0.8,A,
225,102,15,5910,2023,0.87,A,
225,102,15,5922,2002,78.0,A,
225,102,15,5922,2003,13.0,A,
225,102,15,5922,2007,372.0,A,
225,102,15,5922,2008,0.0,A,
225,102,15,5922,2015,5.0,A,
225,102,15,5922,2019,0.0,A,
225,102,15,5922,2020,8.0,A,
225,102,15,5922,2022,1.0,A,
225,102,15,5922,2023,0.0,A,
40,138,15,5610,2000,0.0,A,
40,138,15,5610,2003,0.0,A,
40,138,15,5610,2004,2.0,A,
40,138,15,5610,2007,7612.0,A,
40,138,15,5610,2008,10012.0,A,
40,138,15,5610,2009,9743.0,A,
